URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir.inera.se/CodeSystem/deliverycode,0.1.0,active,,DeliveryCodeCS,DeliveryCode,"Kodverk för förlossningssätt (DeliveryCodeEnum). Används i GetMaternityMedicalHistory.",
https://fhir.inera.se/CodeSystem/errorcode-actoutcome,0.1.0,active,,ErrorCodeCS,ErrorCode,"Kodverk för felkoder i svar från tjänstekontrakten i domänen clinicalprocess:activityprescription:actoutcome.",
https://fhir.inera.se/CodeSystem/examinationstatuscode,0.1.0,active,,ExaminationStatusCodeCS,ExaminationStatusCode,"Kodverk för undersökningsstatus (ExaminationStatusCodeEnum). Används i GetImagingOutcome.",
https://fhir.inera.se/CodeSystem/fetalpositioncode,0.1.0,active,,FetalPositionCodeCS,FetalPositionCode,"Kodverk för fosterläge (FetalPositionCodeEnum). Används i GetMaternityMedicalHistory.",
https://fhir.inera.se/CodeSystem/nonreplaceable-actoutcome,0.1.0,active,,NonReplaceableCS,NonReplaceable,"Kodverk för aktör som har angett att ett läkemedel inte är utbytbart i GetMedicationHistory (DispensationAuthorizationType).",
https://fhir.inera.se/CodeSystem/prescriptionstatus,0.1.0,active,,PrescriptionStatusCS,PrescriptionStatus,"Kodverk för ordinationsstatus i GetMedicationHistory. Anger om en ordination är aktiv eller inaktiv.",
https://fhir.inera.se/CodeSystem/referraloutcometypecode,0.1.0,active,,ReferralOutcomeTypeCodeCS,ReferralOutcomeTypeCode,"Kodverk för typ av remissvar (ReferralOutcomeTypeCodeEnum). Används i GetReferralOutcome.",
https://fhir.inera.se/CodeSystem/resultcode-actoutcome,0.1.0,active,,ResultCodeCS,ResultCode,"Kodverk för resultatkod i svar från tjänstekontrakten i domänen clinicalprocess:activityprescription:actoutcome.",
https://fhir.inera.se/CodeSystem/sexcode,0.1.0,active,,SexCodeCS,SexCode,"Kodverk för kön (SexCodeEnum). Används i GetMaternityMedicalHistory för barnets kön. OBS: Överväg att använda HL7 AdministrativeGender istället.",
https://fhir.inera.se/CodeSystem/typeofcareplan-cs,0.1.0,active,,TypeOfCarePlanCS,TypeOfCarePlan,"Typ av vård- och omsorgsplan enligt clinicalprocess:logistics:logistics v3.0. Definierad i clinicalprocess_logistics_logistics_enum_3.0.xsd.",
https://fhir.inera.se/CodeSystem/typeofleavecode,0.1.0,active,,TypeOfLeaveCodeCS,TypeOfLeaveCode,"Kodverk för typ av ledighet (TypeOfLeaveCodeEnum). Används i GetMaternityMedicalHistory.",
https://fhir.inera.se/CodeSystem/typeofprescription,0.1.0,active,,TypeOfPrescriptionCS,TypeOfPrescription,"Kodverk för ordinationstyp i GetMedicationHistory. Anger om en ordination är en insättnings- eller utsättningsordination.",
https://fhir.inera.se/CodeSystem/typeofresultcode,0.1.0,active,,TypeOfResultCodeCS,TypeOfResultCode,"Kodverk för typ av resultat (TypeOfResultCodeEnum). Används i GetImagingOutcome och GetReferralOutcome.",
https://fhir.inera.se/clinicalprocess-healthcond-description/CodeSystem/assessmentcategory-cs,0.1.0,active,,AssessmentCategoryCS,AssessmentCategory,"Bedömningskategori för funktionsstatus. Tillåtna värden är 'pad-pad' (PADL-bedömning) och 'fun-fun' (funktionsnedsättningsbedömning). Definierat i enum XSD v2.1 för domänen.",
https://fhir.inera.se/clinicalprocess-healthcond-description/CodeSystem/diagnosistype-cs,0.1.0,active,,DiagnosisTypeCS,DiagnosisType,"Kodverk för typ av diagnos (huvud- respektive bidiagnos). Definierat i XSD för domänen.",
https://fhir.inera.se/ig/ehds-tk/CodeSystem/maternity-section,0.1.0,active,,MaternityMedicalSectionCS,MaternityMedicalSection,"Diskriminatorkoder för de tre sektionerna i mödravårdsjournalen (GetMaternityMedicalHistory v2.0). Varje Observation-resurs som skapas ur ett maternityMedicalRecord sätter Observation.code till en av dessa koder.",
urn:oid:1.2.752.129.2.2.2.11,0.1.0,active,"1.2.752.129.2.2.2.11",ClinicalDocumentNoteCodeCS,KV Anteckningstyp,"Kodverk för typ av journalanteckning enligt KV Anteckningstyp. OID: 1.2.752.129.2.2.2.11.",
