URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ConceptMap/observation-status-map"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/se-observation-status-vs,ConceptMap/observation-status-map,ValueSet/growth-observation-type-vs"
https://fhir.inera.se/CodeSystem/deliverycode,0.1.0,active,,DeliveryCodeCS,DeliveryCode,"Kodverk för förlossningssätt (DeliveryCodeEnum). Används i GetMaternityMedicalHistory.","ValueSet/deliverycode-vs"
https://fhir.inera.se/CodeSystem/errorcode-actoutcome,0.1.0,active,,ErrorCodeCS,ErrorCode,"Kodverk för felkoder i svar från tjänstekontrakten i domänen clinicalprocess:activityprescription:actoutcome.","ValueSet/errorcode-vs"
https://fhir.inera.se/CodeSystem/examinationstatuscode,0.1.0,active,,ExaminationStatusCodeCS,ExaminationStatusCode,"Kodverk för undersökningsstatus (ExaminationStatusCodeEnum). Används i GetImagingOutcome.","ValueSet/examinationstatuscode-vs"
https://fhir.inera.se/CodeSystem/fetalpositioncode,0.1.0,active,,FetalPositionCodeCS,FetalPositionCode,"Kodverk för fosterläge (FetalPositionCodeEnum). Används i GetMaternityMedicalHistory.","ValueSet/fetalpositioncode-vs"
https://fhir.inera.se/CodeSystem/prescriptionstatus,0.1.0,active,,PrescriptionStatusCS,PrescriptionStatus,"Kodverk för ordinationsstatus i GetMedicationHistory. Anger om en ordination är aktiv eller inaktiv.","ValueSet/prescriptionstatus-vs"
https://fhir.inera.se/CodeSystem/referraloutcometypecode,0.1.0,active,,ReferralOutcomeTypeCodeCS,ReferralOutcomeTypeCode,"Kodverk för typ av remissvar (ReferralOutcomeTypeCodeEnum). Används i GetReferralOutcome.","ValueSet/referraloutcometypecode-vs"
https://fhir.inera.se/CodeSystem/resultcode-actoutcome,0.1.0,active,,ResultCodeCS,ResultCode,"Kodverk för resultatkod i svar från tjänstekontrakten i domänen clinicalprocess:activityprescription:actoutcome.","ValueSet/resultcode-vs"
https://fhir.inera.se/CodeSystem/sexcode,0.1.0,active,,SexCodeCS,SexCode,"Kodverk för kön (SexCodeEnum). Används i GetMaternityMedicalHistory för barnets kön. OBS: Överväg att använda HL7 AdministrativeGender istället.","ValueSet/sexcode-vs"
https://fhir.inera.se/CodeSystem/typeofcareplan-cs,0.1.0,active,,TypeOfCarePlanCS,TypeOfCarePlan,"Typ av vård- och omsorgsplan enligt clinicalprocess:logistics:logistics v3.0. Definierad i clinicalprocess_logistics_logistics_enum_3.0.xsd.","ValueSet/typeofcareplan-vs"
https://fhir.inera.se/CodeSystem/typeofleavecode,0.1.0,active,,TypeOfLeaveCodeCS,TypeOfLeaveCode,"Kodverk för typ av ledighet (TypeOfLeaveCodeEnum). Används i GetMaternityMedicalHistory.","ValueSet/typeofleavecode-vs"
https://fhir.inera.se/CodeSystem/typeofprescription,0.1.0,active,,TypeOfPrescriptionCS,TypeOfPrescription,"Kodverk för ordinationstyp i GetMedicationHistory. Anger om en ordination är en insättnings- eller utsättningsordination.","ValueSet/typeofprescription-vs"
https://fhir.inera.se/CodeSystem/typeofresultcode,0.1.0,active,,TypeOfResultCodeCS,TypeOfResultCode,"Kodverk för typ av resultat (TypeOfResultCodeEnum). Används i GetImagingOutcome och GetReferralOutcome.","ValueSet/typeofresultcode-vs"
https://fhir.inera.se/clinicalprocess-healthcond-description/CodeSystem/assessmentcategory-cs,0.1.0,active,,AssessmentCategoryCS,AssessmentCategory,"Bedömningskategori för funktionsstatus. Tillåtna värden är 'pad-pad' (PADL-bedömning) och 'fun-fun' (funktionsnedsättningsbedömning). Definierat i enum XSD v2.1 för domänen.","ValueSet/assessmentcategory-vs"
https://fhir.inera.se/clinicalprocess-healthcond-description/CodeSystem/diagnosistype-cs,0.1.0,active,,DiagnosisTypeCS,DiagnosisType,"Kodverk för typ av diagnos (huvud- respektive bidiagnos). Definierat i XSD för domänen.","ValueSet/diagnosistype-vs"
urn:oid:1.2.752.129.2.2.2.11,0.1.0,active,"1.2.752.129.2.2.2.11",ClinicalDocumentNoteCodeCS,KV Anteckningstyp,"Kodverk för typ av journalanteckning enligt KV Anteckningstyp. OID: 1.2.752.129.2.2.2.11.","ValueSet/clinicaldocumentnotecode-vs"
