URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhir.inera.se/ig/ehds-tk/ValueSet/assessmentcategory-vs,0.1.0,active,,AssessmentCategoryVS,AssessmentCategory — ValueSet,"Tillåtna värden för fältet assessmentCategory i GetFunctionalStatus.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/clinicaldocumentnotecode-vs,0.1.0,active,,ClinicalDocumentNoteCodeVS,KV Anteckningstyp — ValueSet,"Tillåtna värden för fältet clinicalDocumentNoteCode i GetCareDocumentation enligt KV Anteckningstyp (OID: 1.2.752.129.2.2.2.11).",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/deliverycode-vs,0.1.0,active,,DeliveryCodeVS,DeliveryCode — ValueSet,"Tillåtna värden för förlossningssätt i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/diagnosistype-vs,0.1.0,active,,DiagnosisTypeVS,DiagnosisType — ValueSet,"Tillåtna värden för fältet typeOfDiagnosis i GetDiagnosis.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/errorcode-vs,0.1.0,active,,ErrorCodeVS,ErrorCode — ValueSet,"Tillåtna värden för errorCode i svar.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/examinationstatuscode-vs,0.1.0,active,,ExaminationStatusCodeVS,ExaminationStatusCode — ValueSet,"Tillåtna värden för examinationStatus i GetImagingOutcome.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/fetalpositioncode-vs,0.1.0,active,,FetalPositionCodeVS,FetalPositionCode — ValueSet,"Tillåtna värden för fosterläge i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/growth-observation-type-vs,0.1.0,draft,,GrowthObservationTypeVS,Tillväxtkurva – observationstyper (IoÖ Tillväxtkurva v3),"SNOMED CT-koder för tillväxtmätningar enligt Interaktionsöverenskommelse Tillväxtkurva för barn och ungdom v3 (Inera, 2023-05-15).  Alla koder från kodsystemet SNOMED CT SE (OID 1.2.752.116.2.1.1).  Koder: - 1153637007 | Kroppslängd | (primärkod för längd) - 50373000   | Mått på kroppslängd | (alternativkod för längd) - 248334005  | Längd i liggande | (bakåtkompatibel – ej för nyanslutning) - 27113001   | Kroppsvikt | - 363812007  | Huvudomfång | - 412726003  | Graviditetslängd vid födelse |",,"SCT"
https://fhir.inera.se/ig/ehds-tk/ValueSet/prescriptionstatus-vs,0.1.0,active,,PrescriptionStatusVS,PrescriptionStatus — ValueSet,"Tillåtna värden för prescriptionStatus i GetMedicationHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/referraloutcometypecode-vs,0.1.0,active,,ReferralOutcomeTypeCodeVS,ReferralOutcomeTypeCode — ValueSet,"Tillåtna värden för referralOutcomeTypeCode i GetReferralOutcome.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/resultcode-vs,0.1.0,active,,ResultCodeVS,ResultCode — ValueSet,"Tillåtna värden för resultCode i svar.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/se-observation-status-vs,0.1.0,active,,SEObservationStatusVS,SE Observation Status (SNOMED CT urval 56431000052106),"Tillåtna statusvärden för GetObservations observationStatus. Urvals-id 56431000052106, SNOMED CT SE (OID 1.2.752.116.2.1.1). Mappning till FHIR ObservationStatus via ConceptMap observation-status-map.",,"SCT"
https://fhir.inera.se/ig/ehds-tk/ValueSet/sexcode-vs,0.1.0,active,,SexCodeVS,SexCode — ValueSet,"Tillåtna värden för kön i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofcareplan-vs,0.1.0,active,,TypeOfCarePlanVS,TypeOfCarePlan — ValueSet,"Tillåtna värden för typeOfCarePlan i GetCarePlans enligt clinicalprocess:logistics:logistics.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofleavecode-vs,0.1.0,active,,TypeOfLeaveCodeVS,TypeOfLeaveCode — ValueSet,"Tillåtna värden för typ av ledighet i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofprescription-vs,0.1.0,active,,TypeOfPrescriptionVS,TypeOfPrescription — ValueSet,"Tillåtna värden för typeOfPrescription i GetMedicationHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofresultcode-vs,0.1.0,active,,TypeOfResultCodeVS,TypeOfResultCode — ValueSet,"Tillåtna värden för typeOfResult i GetImagingOutcome.",,"Internal"
